 U1_fascism:0 "Alabama Reich"
 U12_DEF:0 "Idaho"
 U12_ADJ:0 "Idaho"
 U13_fascism:0 "Illinois Reich"
 U13_fascism_DEF:0 "the Illinois Reich"
 U13_democratic:0 "Illinois Republic"
 U13_democratic:0 "the Illinois Republic"
 U13_neutrality:1 "Illinois Empire"
 U13_neutrality_DEF:1 "the Illinois Empire"
 U13_communism:0 "Socialist Republic of Illinois"
 U13_communism_DEF:0 "the Socialist Republic of Illinois"
 U13_fascism_ADJ:0 "Illinois"
 U13_democratic_ADJ:0 "Illinois"
 U13_neutrality_ADJ:0 "Illinois"
 U13_communism_ADJ:0 "Illinois"
 U13:0 "Illinois"
 U13_DEF:0 "Illinois"
 U13_ADJ:0 "Illinois"
 U14_fascism:0 "Indiana Reich"
 U14_fascism_DEF:0 "the Indiana Reich"
 U14_democratic:0 "Indiana Republic"
 U14_democratic:0 "the Indiana Republic"
 U14_neutrality:1 "Indiana Empire"
 U14_neutrality_DEF:1 "the Indiana Empire"
 U14_communism:0 "Socialist Republic of Indiana"
 U14_communism_DEF:0 "the Socialist Republic of Indiana"
 U14_fascism_ADJ:0 "Indiana"
 U14_democratic_ADJ:0 "Indiana"
 U14_neutrality_ADJ:0 "Indiana"
 U14_communism_ADJ:0 "Indiana"
 U14:0 "Indiana"
 U14_DEF:0 "Indiana"
 U14_ADJ:0 "Indiana"
 U15_fascism:0 "Iowa Reich"
 U15_fascism_DEF:0 "the Iowa Reich"
 U15_democratic:0 "Iowa Republic"
 U15_democratic:0 "the Iowa Republic"
 U15_neutrality:1 "Iowa Empire"
 U15_neutrality_DEF:1 "the Iowa Empire"
 U15_communism:0 "Socialist Republic of Iowa"
 U15_communism_DEF:0 "the Socialist Republic of Iowa"
 U15_fascism_ADJ:0 "Iowa"
 U15_democratic_ADJ:0 "Iowa"
 U15_neutrality_ADJ:0 "Iowa"
 U15_communism_ADJ:0 "Iowa"
 U15:0 "Iowa"
 U15_DEF:0 "Iowa"
 U15_ADJ:0 "Iowa"
 U16_fascism:0 "Kansas Reich"
 U16_fascism_DEF:0 "the Kansas Reich"
 U16_democratic:0 "Kansas Republic"
 U16_democratic:0 "the Kansas Republic"
 U16_neutrality:1 "Kansas Empire"
 U16_neutrality_DEF:1 "the Kansas Empire"
 U16_communism:0 "Socialist Republic of Kansas"
 U16_communism_DEF:0 "the Socialist Republic of Kansas"
 U16_fascism_ADJ:0 "Kansas"
 U16_democratic_ADJ:0 "Kansas"
 U16_neutrality_ADJ:0 "Kansas"
 U16_communism_ADJ:0 "Kansas"
 U16:0 "Kansas"
 U16_DEF:0 "Kansas"
 U16_ADJ:0 "Kansas"
 U17_fascism:0 "Kentucky Reich"
 U17_fascism_DEF:0 "the Kentucky Reich"
 U17_democratic:0 "Kentucky Republic"
 U17_democratic:0 "the Kentucky Republic"
 U17_neutrality:1 "Kentucky Empire"
 U17_neutrality_DEF:1 "the Kentucky Empire"
 U17_communism:0 "Socialist Republic of Kentucky"
 U17_communism_DEF:0 "the Socialist Republic of Kentucky"
 U17_fascism_ADJ:0 "Kentucky"
 U17_democratic_ADJ:0 "Kentucky"
 U17_neutrality_ADJ:0 "Kentucky"
 U17_communism_ADJ:0 "Kentucky"
 U17:0 "Kentucky"
 U17_DEF:0 "Kentucky"
 U17_ADJ:0 "Kentucky"
 U18_fascism:0 "Louisiana Reich"
 U18_fascism_DEF:0 "the Louisiana Reich"
 U18_democratic:0 "Louisiana Republic"
 U18_democratic:0 "the Louisiana Republic"
 U18_neutrality:1 "Louisiana Empire"
 U18_neutrality_DEF:1 "the Louisiana Empire"
 U18_communism:0 "Socialist Republic of Louisiana"
 U18_communism_DEF:0 "the Socialist Republic of Louisiana"
 U18_fascism_ADJ:0 "Louisiana"
 U18_democratic_ADJ:0 "Louisiana"
 U18_neutrality_ADJ:0 "Louisiana"
 U18_communism_ADJ:0 "Louisiana"
 U18:0 "Louisiana"
 U18_DEF:0 "Louisiana"
 U18_ADJ:0 "Louisiana"
 U19_fascism:0 "Maine Reich"
 U19_fascism_DEF:0 "the Maine Reich"
 U19_democratic:0 "Maine Republic"
 U19_democratic:0 "the Maine Republic"
 U19_neutrality:1 "Maine Empire"
 U19_neutrality_DEF:1 "the Maine Empire"
 U19_communism:0 "Socialist Republic of Maine"
 U19_communism_DEF:0 "the Socialist Republic of Maine"
 U19_fascism_ADJ:0 "Maine"
 U19_democratic_ADJ:0 "Maine"
 U19_neutrality_ADJ:0 "Maine"
 U19_communism_ADJ:0 "Maine"
 U19:0 "Maine"
 U19_DEF:0 "Maine"
 U19_ADJ:0 "Maine"
 U20_fascism:0 "Maryland Reich"
 U20_fascism_DEF:0 "the Maryland Reich"
 U20_democratic:0 "Maryland Republic"
 U20_democratic:0 "the Maryland Republic"
 U20_neutrality:1 "Maryland Empire"
 U20_neutrality_DEF:1 "the Maryland Empire"
 U20_communism:0 "Socialist Republic of Maryland"
 U20_communism_DEF:0 "the Socialist Republic of Maryland"
 U20_fascism_ADJ:0 "Maryland"
 U20_democratic_ADJ:0 "Maryland"
 U20_neutrality_ADJ:0 "Maryland"
 U20_communism_ADJ:0 "Maryland"
 U20:0 "Maryland"
 U20_DEF:0 "Maryland"
 U20_ADJ:0 "Maryland"
 U21_fascism:0 "Massachusetts Reich"
 U21_fascism_DEF:0 "the Massachusetts Reich"
 U21_democratic:0 "Massachusetts Republic"
 U21_democratic:0 "the Massachusetts Republic"
 U21_neutrality:1 "Massachusetts Empire"
 U21_neutrality_DEF:1 "the Massachusetts Empire"
 U21_communism:0 "Socialist Republic of Massachusetts"
 U21_communism_DEF:0 "the Socialist Republic of Massachusetts"
 U21_fascism_ADJ:0 "Massachusetts"
 U21_democratic_ADJ:0 "Massachusetts"
 U21_neutrality_ADJ:0 "Massachusetts"
 U21_communism_ADJ:0 "Massachusetts"
 U21:0 "Massachusetts"
 U21_DEF:0 "Massachusetts"
 U21_ADJ:0 "Massachusetts"
 U22_fascism:0 "Michigan Reich"
 U22_fascism_DEF:0 "the Michigan Reich"
 U22_democratic:0 "Michigan Republic"
 U22_democratic:0 "the Michigan Republic"
 U22_neutrality:1 "Michigan Empire"
 U22_neutrality_DEF:1 "the Michigan Empire"
 U22_communism:0 "Socialist Republic of Michigan"
 U22_communism_DEF:0 "the Socialist Republic of Michigan"
 U22_fascism_ADJ:0 "Michigan"
 U22_democratic_ADJ:0 "Michigan"
 U22_neutrality_ADJ:0 "Michigan"
 U22_communism_ADJ:0 "Michigan"
 U22:0 "Michigan"
 U22_DEF:0 "Michigan"
 U22_ADJ:0 "Michigan"
 U23_fascism:0 "Minnesota Reich"
 U23_fascism_DEF:0 "the Minnesota Reich"
 U23_democratic:0 "Minnesota Republic"
 U23_democratic:0 "the Minnesota Republic"
 U23_neutrality:1 "Minnesota Empire"
 U23_neutrality_DEF:1 "the Minnesota Empire"
 U23_communism:0 "Socialist Republic of Minnesota"
 U23_communism_DEF:0 "the Socialist Republic of Minnesota"
 U23_fascism_ADJ:0 "Minnesota"
 U23_democratic_ADJ:0 "Minnesota"
 U23_neutrality_ADJ:0 "Minnesota"
 U23_communism_ADJ:0 "Minnesota"
 U23:0 "Minnesota"
 U23_DEF:0 "Minnesota"
 U23_ADJ:0 "Minnesota"
 U24_fascism:0 "Mississippi Reich"
 U24_fascism_DEF:0 "the Mississippi Reich"
 U24_democratic:0 "Mississippi Republic"
 U24_democratic:0 "the Mississippi Republic"
 U24_neutrality:1 "Mississippi Empire"
 U24_neutrality_DEF:1 "the Mississippi Empire"
 U24_communism:0 "Socialist Republic of Mississippi"
 U24_communism_DEF:0 "the Socialist Republic of Mississippi"
 U24_fascism_ADJ:0 "Mississippi"
 U24_democratic_ADJ:0 "Mississippi"
 U24_neutrality_ADJ:0 "Mississippi"
 U24_communism_ADJ:0 "Mississippi"
 U24:0 "Mississippi"
 U24_DEF:0 "Mississippi"
 U24_ADJ:0 "Mississippi"
 U25_fascism:0 "Missouri Reich"
 U25_fascism_DEF:0 "the Missouri Reich"
 U25_democratic:0 "Missouri Republic"
 U25_democratic:0 "the Missouri Republic"
 U25_neutrality:1 "Missouri Empire"
 U25_neutrality_DEF:1 "the Missouri Empire"
 U25_communism:0 "Socialist Republic of Missouri"
 U25_communism_DEF:0 "the Socialist Republic of Missouri"
 U25_fascism_ADJ:0 "Missouri"
 U25_democratic_ADJ:0 "Missouri"
 U25_neutrality_ADJ:0 "Missouri"
 U25_communism_ADJ:0 "Missouri"
 U25:0 "Missouri"
 U25_DEF:0 "Missouri"
 U25_ADJ:0 "Missouri"
 U26_fascism:0 "Montana Reich"
 U26_fascism_DEF:0 "the Montana Reich"
 U26_democratic:0 "Montana Republic"
 U26_democratic:0 "the Montana Republic"
 U26_neutrality:1 "Montana Empire"
 U26_neutrality_DEF:1 "the Montana Empire"
 U26_communism:0 "Socialist Republic of Montana"
 U26_communism_DEF:0 "the Socialist Republic of Montana"
 U26_fascism_ADJ:0 "Montana"
 U26_democratic_ADJ:0 "Montana"
 U26_neutrality_ADJ:0 "Montana"
 U26_communism_ADJ:0 "Montana"
 U26:0 "Montana"
 U26_DEF:0 "Montana"
 U26_ADJ:0 "Montana"
 U27_fascism:0 "Nebraska Reich"
 U27_fascism_DEF:0 "the Nebraska Reich"
 U27_democratic:0 "Nebraska Republic"
 U27_democratic:0 "the Nebraska Republic"
 U27_neutrality:1 "Nebraska Empire"
 U27_neutrality_DEF:1 "the Nebraska Empire"
 U27_communism:0 "Socialist Republic of Nebraska"
 U27_communism_DEF:0 "the Socialist Republic of Nebraska"
 U27_fascism_ADJ:0 "Nebraska"
 U27_democratic_ADJ:0 "Nebraska"
 U27_neutrality_ADJ:0 "Nebraska"
 U27_communism_ADJ:0 "Nebraska"
 U27:0 "Nebraska"
 U27_DEF:0 "Nebraska"
 U27_ADJ:0 "Nebraska"
 U28_fascism:0 "Nevada Reich"
 U28_fascism_DEF:0 "the Nevada Reich"
 U28_democratic:0 "Nevada Republic"
 U28_democratic:0 "the Nevada Republic"
 U28_neutrality:1 "Nevada Empire"
 U28_neutrality_DEF:1 "the Nevada Empire"
 U28_communism:0 "Socialist Republic of Nevada"
 U28_communism_DEF:0 "the Socialist Republic of Nevada"
 U28_fascism_ADJ:0 "Nevada"
 U28_democratic_ADJ:0 "Nevada"
 U28_neutrality_ADJ:0 "Nevada"
 U28_communism_ADJ:0 "Nevada"
 U28:0 "Nevada"
 U28_DEF:0 "Nevada"
 U28_ADJ:0 "Nevada"
 U29_fascism:0 "New Hampshire Reich"
 U29_fascism_DEF:0 "the New Hampshire Reich"
 U29_democratic:0 "New Hampshire Republic"
 U29_democratic:0 "the New Hampshire Republic"
 U29_neutrality:1 "New Hampshire Empire"
 U29_neutrality_DEF:1 "the New Hampshire Empire"
 U29_communism:0 "Socialist Republic of New Hampshire"
 U29_communism_DEF:0 "the Socialist Republic of New Hampshire"
 U29_fascism_ADJ:0 "New Hampshire"
 U29_democratic_ADJ:0 "New Hampshire"
 U29_neutrality_ADJ:0 "New Hampshire"
 U29_communism_ADJ:0 "New Hampshire"
 U29:0 "New Hampshire"
 U29_DEF:0 "New Hampshire"
 U29_ADJ:0 "New Hampshire"
 U30_fascism:0 "New Jersey Reich"
 U30_fascism_DEF:0 "the New Jersey Reich"
 U30_democratic:0 "New Jersey Republic"
 U30_democratic:0 "the New Jersey Republic"
 U30_neutrality:1 "New Jersey Empire"
 U30_neutrality_DEF:1 "the New Jersey Empire"
 U30_communism:0 "Socialist Republic of New Jersey"
 U30_communism_DEF:0 "the Socialist Republic of New Jersey"
 U30_fascism_ADJ:0 "New Jersey"
 U30_democratic_ADJ:0 "New Jersey"
 U30_neutrality_ADJ:0 "New Jersey"
 U30_communism_ADJ:0 "New Jersey"
 U30:0 "New Jersey"
 U30_DEF:0 "New Jersey"
 U30_ADJ:0 "New Jersey"
 U31_fascism:0 "New Mexico Reich"
 U31_fascism_DEF:0 "the New Mexico Reich"
 U31_democratic:0 "New Mexico Republic"
 U31_democratic:0 "the New Mexico Republic"
 U31_neutrality:1 "New Mexico Empire"
 U31_neutrality_DEF:1 "the New Mexico Empire"
 U31_communism:0 "Socialist Republic of New Mexico"
 U31_communism_DEF:0 "the Socialist Republic of New Mexico"
 U31_fascism_ADJ:0 "New Mexico"
 U31_democratic_ADJ:0 "New Mexico"
 U31_neutrality_ADJ:0 "New Mexico"
 U31_communism_ADJ:0 "New Mexico"
 U31:0 "New Mexico"
 U31_DEF:0 "New Mexico"
 U31_ADJ:0 "New Mexico"
 U32_fascism:0 "New York Reich"
 U32_fascism_DEF:0 "the New York Reich"
 U32_democratic:0 "New York Republic"
 U32_democratic:0 "the New York Republic"
 U32_neutrality:1 "New York Empire"
 U32_neutrality_DEF:1 "the New York Empire"
 U32_communism:0 "Socialist Republic of New York"
 U32_communism_DEF:0 "the Socialist Republic of New York"
 U32_fascism_ADJ:0 "New York"
 U32_democratic_ADJ:0 "New York"
 U32_neutrality_ADJ:0 "New York"
 U32_communism_ADJ:0 "New York"
 U32:0 "New York"
 U32_DEF:0 "New York"
 U32_ADJ:0 "New York"
 U33_fascism:0 "North Carolina Reich"
 U33_fascism_DEF:0 "the North Carolina Reich"
 U33_democratic:0 "North Carolina Republic"
 U33_democratic:0 "the North Carolina Republic"
 U33_neutrality:1 "North Carolina Empire"
 U33_neutrality_DEF:1 "the North Carolina Empire"
 U33_communism:0 "Socialist Republic of North Carolina"
 U33_communism_DEF:0 "the Socialist Republic of North Carolina"
 U33_fascism_ADJ:0 "North Carolina"
 U33_democratic_ADJ:0 "North Carolina"
 U33_neutrality_ADJ:0 "North Carolina"
 U33_communism_ADJ:0 "North Carolina"
 U33:0 "North Carolina"
 U33_DEF:0 "North Carolina"
 U33_ADJ:0 "North Carolina"
 U34_fascism:0 "North Dakota Reich"
 U34_fascism_DEF:0 "the North Dakota Reich"
 U34_democratic:0 "North Dakota Republic"
 U34_democratic:0 "the North Dakota Republic"
 U34_neutrality:1 "North Dakota Empire"
 U34_neutrality_DEF:1 "the North Dakota Empire"
 U34_communism:0 "Socialist Republic of North Dakota"
 U34_communism_DEF:0 "the Socialist Republic of North Dakota"
 U34_fascism_ADJ:0 "North Dakota"
 U34_democratic_ADJ:0 "North Dakota"
 U34_neutrality_ADJ:0 "North Dakota"
 U34_communism_ADJ:0 "North Dakota"
 U34:0 "North Dakota"
 U34_DEF:0 "North Dakota"
 U34_ADJ:0 "North Dakota"
 U35_fascism:0 "Ohio Reich"
 U35_fascism_DEF:0 "the Ohio Reich"
 U35_democratic:0 "Ohio Republic"
 U35_democratic:0 "the Ohio Republic"
 U35_neutrality:1 "Ohio Empire"
 U35_neutrality_DEF:1 "the Ohio Empire"
 U35_communism:0 "Socialist Republic of Ohio"
 U35_communism_DEF:0 "the Socialist Republic of Ohio"
 U35_fascism_ADJ:0 "Ohio"
 U35_democratic_ADJ:0 "Ohio"
 U35_neutrality_ADJ:0 "Ohio"
 U35_communism_ADJ:0 "Ohio"
 U35:0 "Ohio"
 U35_DEF:0 "Ohio"
 U35_ADJ:0 "Ohio"
 U36_fascism:0 "Oklahoma Reich"
 U36_fascism_DEF:0 "the Oklahoma Reich"
 U36_democratic:0 "Oklahoma Republic"
 U36_democratic:0 "the Oklahoma Republic"
 U36_neutrality:1 "Oklahoma Empire"
 U36_neutrality_DEF:1 "the Oklahoma Empire"
 U36_communism:0 "Socialist Republic of Oklahoma"
 U36_communism_DEF:0 "the Socialist Republic of Oklahoma"
 U36_fascism_ADJ:0 "Oklahoma"
 U36_democratic_ADJ:0 "Oklahoma"
 U36_neutrality_ADJ:0 "Oklahoma"
 U36_communism_ADJ:0 "Oklahoma"
 U36:0 "Oklahoma"
 U36_DEF:0 "Oklahoma"
 U36_ADJ:0 "Oklahoma"
 U37_fascism:0 "Oregon Reich"
 U37_fascism_DEF:0 "the Oregon Reich"
 U37_democratic:0 "Oregon Republic"
 U37_democratic:0 "the Oregon Republic"
 U37_neutrality:1 "Oregon Empire"
 U37_neutrality_DEF:1 "the Oregon Empire"
 U37_communism:0 "Socialist Republic of Oregon"
 U37_communism_DEF:0 "the Socialist Republic of Oregon"
 U37_fascism_ADJ:0 "Oregon"
 U37_democratic_ADJ:0 "Oregon"
 U37_neutrality_ADJ:0 "Oregon"
 U37_communism_ADJ:0 "Oregon"
 U37:0 "Oregon"
 U37_DEF:0 "Oregon"
 U37_ADJ:0 "Oregon"
 U38_fascism:0 "Pennsylvania Reich"
 U38_fascism_DEF:0 "the Pennsylvania Reich"
 U38_democratic:0 "Pennsylvania Republic"
 U38_democratic:0 "the Pennsylvania Republic"
 U38_neutrality:1 "Pennsylvania Empire"
 U38_neutrality_DEF:1 "the Pennsylvania Empire"
 U38_communism:0 "Socialist Republic of Pennsylvania"
 U38_communism_DEF:0 "the Socialist Republic of Pennsylvania"
 U38_fascism_ADJ:0 "Pennsylvania"
 U38_democratic_ADJ:0 "Pennsylvania"
 U38_neutrality_ADJ:0 "Pennsylvania"
 U38_communism_ADJ:0 "Pennsylvania"
 U38:0 "Pennsylvania"
 U38_DEF:0 "Pennsylvania"
 U38_ADJ:0 "Pennsylvania"
 U39_fascism:0 "Rhode Island Reich"
 U39_fascism_DEF:0 "the Rhode Island Reich"
 U39_democratic:0 "Rhode Island Republic"
 U39_democratic:0 "the Rhode Island Republic"
 U39_neutrality:1 "Rhode Island Empire"
 U39_neutrality_DEF:1 "the Rhode Island Empire"
 U39_communism:0 "Socialist Republic of Rhode Island"
 U39_communism_DEF:0 "the Socialist Republic of Rhode Island"
 U39_fascism_ADJ:0 "Rhode Island"
 U39_democratic_ADJ:0 "Rhode Island"
 U39_neutrality_ADJ:0 "Rhode Island"
 U39_communism_ADJ:0 "Rhode Island"
 U39:0 "Rhode Island"
 U39_DEF:0 "Rhode Island"
 U39_ADJ:0 "Rhode Island"
 U40_fascism:0 "South Carolina Reich"
 U40_fascism_DEF:0 "the South Carolina Reich"
 U40_democratic:0 "South Carolina Republic"
 U40_democratic:0 "the South Carolina Republic"
 U40_neutrality:1 "South Carolina Empire"
 U40_neutrality_DEF:1 "the South Carolina Empire"
 U40_communism:0 "Socialist Republic of South Carolina"
 U40_communism_DEF:0 "the Socialist Republic of South Carolina"
 U40_fascism_ADJ:0 "South Carolina"
 U40_democratic_ADJ:0 "South Carolina"
 U40_neutrality_ADJ:0 "South Carolina"
 U40_communism_ADJ:0 "South Carolina"
 U40:0 "South Carolina"
 U40_DEF:0 "South Carolina"
 U40_ADJ:0 "South Carolina"
 U41_fascism:0 "South Dakota Reich"
 U41_fascism_DEF:0 "the South Dakota Reich"
 U41_democratic:0 "South Dakota Republic"
 U41_democratic:0 "the South Dakota Republic"
 U41_neutrality:1 "South Dakota Empire"
 U41_neutrality_DEF:1 "the South Dakota Empire"
 U41_communism:0 "Socialist Republic of South Dakota"
 U41_communism_DEF:0 "the Socialist Republic of South Dakota"
 U41_fascism_ADJ:0 "South Dakota"
 U41_democratic_ADJ:0 "South Dakota"
 U41_neutrality_ADJ:0 "South Dakota"
 U41_communism_ADJ:0 "South Dakota"
 U41:0 "South Dakota"
 U41_DEF:0 "South Dakota"
 U41_ADJ:0 "South Dakota"
 U42_fascism:0 "Tennessee Reich"
 U42_fascism_DEF:0 "the Tennessee Reich"
 U42_democratic:0 "Tennessee Republic"
 U42_democratic:0 "the Tennessee Republic"
 U42_neutrality:1 "Tennessee Empire"
 U42_neutrality_DEF:1 "the Tennessee Empire"
 U42_communism:0 "Socialist Republic of Tennessee"
 U42_communism_DEF:0 "the Socialist Republic of Tennessee"
 U42_fascism_ADJ:0 "Tennessee"
 U42_democratic_ADJ:0 "Tennessee"
 U42_neutrality_ADJ:0 "Tennessee"
 U42_communism_ADJ:0 "Tennessee"
 U42:0 "Tennessee"
 U42_DEF:0 "Tennessee"
 U42_ADJ:0 "Tennessee"
 U43_fascism:0 "Texas Reich"
 U43_fascism_DEF:0 "the Texas Reich"
 U43_democratic:0 "Texas Republic"
 U43_democratic:0 "the Texas Republic"
 U43_neutrality:1 "Texas Empire"
 U43_neutrality_DEF:1 "the Texas Empire"
 U43_communism:0 "Socialist Republic of Texas"
 U43_communism_DEF:0 "the Socialist Republic of Texas"
